species,strain,treat,day,density,aspect_ratio,size,speed,linearity
Loxo,Loxo_1,A,22,303.024096385542,1.5239880952381,2.3689125562657027,45.9961607142857,0.47370342953571
Loxo,Loxo_1,A,24,156.963855421687,1.52603550295858,2.3303520459732003,36.2856213017752,0.360280189406207
Loxo,Loxo_1,A,29,300.493975903614,1.63662721893491,2.301297043196648,32.7328698224852,0.314907780583293
Loxo,Loxo_1,A,31,232.674698795181,1.59496350364964,2.255340743501885,35.8619343065693,0.387102218835859
Loxo,Loxo_1,A,34,413.240963855422,1.59637188208617,2.399266665379556,57.1200680272109,0.489180404166729
Loxo,Loxo_1,A,36,314.590361445783,2.03069256756757,2.2614413896755834,40.8232263513514,0.359512615070406
Loxo,Loxo_1,AT,2.1,42.1686746987952,1.65076923076923,2.3869240655653026,71.4489743589744,0.508778572868923
Loxo,Loxo_1,AT,3.1,45.5180722891566,1.54204545454545,2.4475104001095445,66.2272727272727,0.594261251180389
Loxo,Loxo_1,AT,5.1,122.44578313253,1.94251533742331,2.2991563620752515,57.0900613496933,0.427425468011195
Loxo,Loxo_1,AT,6.1,130.048192771084,2.1956345177665,2.2883436631773444,50.1287817258883,0.435433119417819
Loxo,Loxo_1,AT,7.1,293.530120481928,1.76456445993031,2.371948436385459,66.4997909407665,0.502130732564656
Loxo,Loxo_1,AT,8,183.590361445783,1.80405555555556,2.3397484885526376,42.694,0.452216190616547
Loxo,Loxo_1,AT,9,321.542168674699,1.76846394984326,2.3719028001385802,48.2676489028213,0.503001416507406
Loxo,Loxo_1,AT,10,314.289156626506,1.69558139534884,2.3649935934942383,51.4762790697674,0.451263776703481
Loxo,Loxo_1,AT,11,559.819277108434,1.7791134751773101,2.337486839725459,41.3460460992908,0.456530339770032
Loxo,Loxo_1,AT,12.1,322.433734939759,1.84363861386139,2.26653457880229,39.1528465346535,0.438321777868087
Loxo,Loxo_1,AT,13,476.120481927711,1.7653249475891,2.306992879732412,28.8656184486373,0.408661106290387
Loxo,Loxo_1,AT,14,302.771084337349,1.6833137829912,2.1977543180130006,24.9468328445748,0.334046270754665
Loxo,Loxo_1,AT,15.1,437.44578313253,1.66667396061269,2.2097858874788363,22.84704595186,0.346850404327869
Loxo,Loxo_1,AT,16,450.397590361446,1.5327352297593,2.296373806233683,52.8850547045952,0.569867963496094
Loxo,Loxo_1,AT,17.1,278.710843373494,1.5676124567474,2.2756333894394776,41.6814186851211,0.490513023849641
Loxo,Loxo_1,AT,18,195.771084337349,1.55366834170854,2.294573448865168,52.6109547738693,0.550125282354373
Loxo,Loxo_1,AT,20,316.746987951807,1.55993710691824,2.3221354583126126,35.7840566037736,0.418879330156246
Loxo,Loxo_1,AT,22,603.951807228916,1.58040178571429,2.343014438478811,65.3103720238095,0.567758763538292
Loxo,Loxo_1,AT,29,80.4096385542169,1.58918367346939,2.3138723833400325,20.4986734693878,0.274277847890839
Loxo,Loxo_1,AT,31,386.807228915663,1.65229545454545,2.34788674413721,34.6460454545455,0.357572319295068
Loxo,Loxo_1,AT,34,561.10843373494,1.5244142614601,2.428551302562603,51.1686078098472,0.47989109833133903
Loxo,Loxo_1,AT,36,84.9036144578313,2.26289617486339,2.1695448364109184,32.6067213114754,0.241714033883046
Loxo,Loxo_2,C,3.1,150.289156626506,1.66621428571429,2.4307854689263784,31.1792142857143,0.334860363761678
Loxo,Loxo_2,C,4.1,166.325301204819,1.56887573964497,2.4600720578149105,41.9678106508876,0.438103438525715
Loxo,Loxo_2,C,5.1,148.277108433735,1.6958041958042,2.432094621786224,44.0592307692308,0.420633223044361
Loxo,Loxo_2,C,6.1,137.518072289157,1.79846153846154,2.3827244330744906,38.3347552447552,0.404438813971164
Loxo,Loxo_2,C,7.1,546.710843373494,1.76953068592058,2.342814929389452,33.5970036101083,0.370711848647955
Loxo,Loxo_2,C,8.1,453.879518072289,1.69464135021097,2.3589729271322204,29.9883333333333,0.380785151221868
Loxo,Loxo_2,C,9,332.746987951807,1.74607407407407,2.345398758987855,27.1108641975309,0.32646233284057
Loxo,Loxo_2,C,10,263.301204819277,1.80955172413793,2.29561168347152,25.2673793103448,0.367895492963453
Loxo,Loxo_2,C,11,628.289156626506,1.8658024691358,2.282275811664759,22.7548696844993,0.319133927943544
Loxo,Loxo_2,C,12,344.771084337349,1.80714975845411,2.3411912461898337,23.036038647343,0.400165212697213
Loxo,Loxo_2,C,13,615.506024096386,1.77069701280228,2.3027113730475497,29.0618492176387,0.348830749022915
Loxo,Loxo_2,C,14,347.638554216868,1.68828715365239,2.2732027437985103,27.0348614609572,0.379378403602585
Loxo,Loxo_2,C,15.1,75.9036144578313,1.61987179487179,2.267033863922523,26.6733333333333,0.328697341158943
Loxo,Loxo_2,C,16,95.5060240963855,1.59965909090909,2.2943422030503084,26.7542045454545,0.316519374040539
